Name,smile,value,label_cutoff_50%
amezinium,COc1cc(=N)cnn1-c1ccccc1,58,1
phenazopyridine,N=c1ccc(N=Nc2ccccc2)c(N)[nH]1,60,1
lofexidine,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,90,1
chloramphenicol,O=[N+]([O-])c1ccc(C(O)C(CO)N=C(O)C(Cl)Cl)cc1,80,1
idazoxan,c1ccc2c(c1)OCC(C1=NCCN1)O2,34,0
oxitriptan,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,70,1
levamisole,c1ccc(C2CN3CCSC3=N2)cc1,65,1
brivudine,O=c1nc(O)c(C=CBr)cn1C1CC(O)C(CO)O1,30,0
sorivudine,O=c1nc(O)c(C=CBr)cn1C1OC(CO)C(O)C1O,70,1
polythiazide,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,>80[1],1
sulfisoxazole,Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C,93,1
idrocilamide,OCCN=C(O)C=Cc1ccccc1,30,0
toloxatone,Cc1cccc(N2CC(CO)OC2=O)c1,56,1
lorcaserin,CC1CNCCc2ccc(Cl)cc21,90,1
ethylphenylmalonamide,CCC(C(=N)O)(C(=N)O)c1ccccc1,91,1
felbamate,N=C(O)OCC(COC(=N)O)c1ccccc1,90,1
pyrantel,CN1CCCN=C1C=Cc1cccs1,>50[2],1
doxofylline,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,63,1
forodesine,OCC1NC(c2c[nH]c3c(O)ncnc23)C(O)C1O,40,0
lobucavir,N=c1nc(O)c2ncn(C3CC(CO)C3CO)c2[nH]1,30,0
nelarabine,COc1nc(=N)[nH]c2c1ncn2C1OC(CO)C(O)C1O,11,0
methocarbamol,COc1ccccc1OCC(O)COC(=N)O,32,0
proguanil,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,60,1
tocainide,Cc1cccc(C)c1N=C(O)C(C)N,89,1
pilocarpine,CCC1C(=O)OCC1Cc1cncn1C,100,1
pentostatin,OCC1OC(n2cnc3c2NC=NCC3O)CC1O,≈0[1],0
bretylium,CC[N+](C)(C)Cc1ccccc1Br,23,0
mexiletine,Cc1cccc(C)c1OCC(C)N,87,1
isoproterenol,CC(C)NCC(O)c1ccc(O)c(O)c1,0,0
orciprenaline,CC(C)NCC(O)c1cc(O)cc(O)c1,40,0
pentobarbital,CCCC(C)C1(CC)C(O)=NC(=O)N=C1O,80,1
ranitidine,CN=C(NCCSCc1ccc(CNC)o1)N[N+](=O)[O-],52,1
brivaracetam,CCCC1CC(=O)N(C(CC)C(=N)O)C1,100,1
mecamylamine,CNC1(C)C2CCC(C2)C1(C)C,99,1
diatrizoate,CC(O)=Nc1c(I)c(N=C(C)O)c(I)c(C(=O)O)c1I,<50[2],0
naftazone,N=C(O)N=Nc1ccc2ccccc2c1O,>80[1],1
nilutamide,CC1(C)N=C(O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,100,1
cinoxacin,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,72.5,1
furosemide,NS(=O)(=O)c1cc(Cl)cc(NCc2ccco2)c1C(=O)O,71,1
peldesine,N=c1nc(O)c2[nH]cc(Cc3cccnc3)c2[nH]1,33,0
dapsone,Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,93,1
enoximone,CSc1ccc(C(=O)c2[nH]c(O)nc2C)cc1,54,1
phenobarbital,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,72,1
nalidixic,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,96,1
benznidazole,O=[N+]([O-])c1nccn1CC(O)=NCc1ccccc1,100,1
alinidine,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,100,1
pyrimethamine,CCc1nc(=N)[nH]c(N)c1-c1ccc(Cl)cc1,100,1
rasagiline,C#CCNC1CCc2ccccc21,36,0
triamterene,N=C1N=C2NC(N)=C(c3ccccc3)N=C2C(N)N1,51,1
aniracetam,COc1ccc(C(=O)N2CCCC2=O)cc1,0.2,0
phenylpiracetam,N=C(O)CN1CC(c2ccccc2)CC1=O,100,1
sulfadoxine,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,>80[1],1
sulfadimethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,59.099998,1
clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,95,1
bicifadine,Cc1ccc(C23CNCC2C3)cc1,89,1
albendazole,CCCSc1ccc2nc(N=C(O)OC)[nH]c2c1,5,0
entecavir,C=C1C(CO)C(O)CC1n1cnc2c(O)nc(=N)[nH]c21,100,1
faropenem,CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,20,0
fenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,89,1
eltoprazine,c1cc2c(c(N3CCNCC3)c1)OCCO2,100,1
hexobarbital,CN1C(=O)N=C(O)C(C)(C2=CCCCC2)C1=O,95,1
cyclopenthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(CN1CCCC1)NS2(=O)=O,100,1
imipenem,CC(O)C1C(=O)N2C(C(=O)O)=C(SCCNC=N)CC12,1,0
thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,5,0
clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,99,1
tulobuterol,CC(C)(C)NCC(O)c1ccccc1Cl,48,0
secobarbital,C=CCC1(C(C)CCC)C(O)=NC(=O)N=C1O,90,1
tolbutamide,CCCCN=C(O)NS(=O)(=O)c1ccc(C)cc1,85,1
midodrine,COc1ccc(OC)c(C(O)CN=C(O)CN)c1,93,1
propofol,CC(C)c1cccc(C(C)C)c1O,5,0
sucralose,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,>50[2],1
neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,2,0
bamethan,CCCC[NH2+]CC(O)c1ccc(O)cc1,75,1
terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,14,0
prenalterol,CC(C)NCC(O)COc1ccc(O)cc1,>50[2],1
pirbuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,60,1
zanamivir,CC(O)=NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)C(O)CO,2,0
nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,70,1
cadralazine,CCOC(O)=NNc1ccc(N(CC)CC(C)O)nn1,80,1
topiramate,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,70,1
lactulose,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,3,0
methoxsalen,COc1c2occc2cc2ccc(=O)oc12,≈0[1],0
teriflunomide,CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,<50[2],0
nitazoxanide,CC(=O)Oc1ccccc1C(O)=Nc1ncc([N+](=O)[O-])s1,70,1
lornoxicam,CN1C(C(O)=Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,100,1
thalidomide,O=C1N=C(O)CCC1N1C(=O)c2ccccc2C1=O,>80[1],1
tenoxicam,CN1C(C(O)=Nc2ccccn2)=Cc2sccc2S1(=O)=O,100,1
sudoxicam,CN1C(C(O)=Nc2nccs2)=C(O)c2ccccc2S1(=O)=O,>80[1],1
oxolinic,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,50,1
fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,90,1
sultosilic,Cc1ccc(S(=O)(=O)Oc2ccc(O)c(S(=O)(=O)O)c2)cc1,60,1
varenicline,c1cnc2cc3c(cc2n1)C1CNCC3C1,87,1
lenalidomide,Nc1cccc2c1CN(C1CCC(O)=NC1=O)C2=O,70,1
cefacetrile,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(N=C(O)CC#N)C2SC1,0,0
ceftizoxime,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(=N)[nH]1,0,0
ciprofibrate,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,99,1
tacrine,N=c1c2c([nH]c3ccccc13)CCCC2,17,0
methylphenobarbital,CCC1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,73,1
genaconazole,CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,99,1
glutethimide,CCC1(c2ccccc2)CCC(O)=NC1=O,≈0[1],0
cladribine,COC1CC(n2cnc3c(N)cc(Cl)cc32)OC1CO,43,0
ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,20,0
aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(O)=NC1=O,95,1
mofebutazone,CCCCC1C(=O)N(c2ccccc2)N=C1O,90,1
moclobemide,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,75,1
selegiline,C#CCN(C)C(C)Cc1ccccc1,4.4000001,0
aztreonam,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(=N)[nH]2)C(=O)N1S(=O)(=O)O,1,0
ambroxol,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,77,1
melphalan,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,71,1
mabuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,91,1
bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5,0
lacosamide,COCC(N=C(C)O)C(O)=NCc1ccccc1,100,1
pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,25,0
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,85,1
mefruside,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,70,1
pinacidil,CC(NC(=NC#N)N=c1cc[nH]cc1)C(C)(C)C,57,1
viloxazine,CCOc1ccccc1OCC1CNCCO1,85,1
r-albuterol,CC(C)(C)NCC(O)c1ccc(O)c(C(=O)O)c1,43,0
probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,99,1
prilocaine,CCCNC(C)C(O)=Nc1ccccc1C,20,0
practolol,CC(O)=Nc1ccc(C(O)CNC(C)C)cc1,95,1
levodropropizine,OCC(O)CN1CCN(c2ccccc2)CC1,75,1
etozolin,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,90,1
valaciclovir,CC(C)C(N)C(=O)OCCOCn1cnc2c(O)nc(=N)[nH]c21,0,0
febuprol,CCCCOCC(O)COc1ccccc1,90,1
procainamide,CCN(CC)CCNC(=O)c1ccc(N)cc1,83,1
salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,44,0
sotalol,CC(C)NCC(O)COc1cccc(NS(C)(=O)=O)c1,95,1
diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,85,1
bromazepam,OC1=Nc2ccc(Br)cc2C(c2ccccn2)=NC1,84,1
fenclofenac,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,100,1
mitotane,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,40,0
nitisinone,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],90,1
olsalazine,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,2,0
diclofenac,O=C(O)Cc1ccccc1Nc1ccc(Cl)cc1Cl,54,1
chlorthalidone,NS(=O)(=O)c1cc(C2(O)N=C(O)c3ccccc32)ccc1Cl,64,1
tolcapone,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,62,1
fenquizone,NS(=O)(=O)c1cc2c(cc1Cl)NC(c1ccccc1)N=C2O,53,1
nolatrexed,Cc1ccc2[nH]c(=N)nc(O)c2c1Sc1ccncc1,95,1
levosimendan,CC1CC(O)=NN=C1c1ccc(NN=C(C#N)C#N)cc1,85,1
suprofen,CC(C(=O)O)c1cccc(C(=O)c2cccs2)c1,90,1
meloxicam,Cc1cnc(N=C(O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,97,1
isoxicam,Cc1cc(=NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)[nH]o1,97,1
cefdinir,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3c[nH]c(=N)s3)C2SC1,18.5,0
ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,80,1
obidoxime,O=[NH+]C=C1C=CN(COCN2C=CC(=C[NH+]=O)C=C2)C=C1,≈0[1],0
cefazolin,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(N=C(O)Cn4cnnn4)C3SC2)s1,75,1
entacapone,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,42,0
endralazine,NN=c1cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,75,1
cefetamet,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1csc(=N)[nH]1,47,0
atipamezole,CCC1(c2cnc[nH]2)Cc2ccccc2C1,2,0
etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,≈0[1],0
imiquimod,CC(C)Cn1cnc2c(=N)[nH]c3ccccc3c21,47,0
fasudil,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,>80[1],1
pipemidic_acid,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,93,1
trimethoprim,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,76,1
abacavir,N=c1nc2c(ncn2C2C=CC(CO)C2)c(NC2CC2)[nH]1,83,1
stiripentol,CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2,>50[2],1
chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,82,1
famciclovir,CC(=O)OCC(CCn1cnc2c[nH]c(=N)nc21)COC(C)=O,77,1
bromhexine,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,77.5,1
pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,88,1
vorinostat,ON=C(O)CCCCCCC(O)=Nc1ccccc1,43,0
auranofin,CC(=O)OCC1OC(S)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,20,0
sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,14,0
preclamol,CCCN1CCCC(c2cccc(O)c2)C1,4,0
bromopride,CCN(CC)CCN=C(O)c1cc(Br)c(N)cc1OC,67.5,1
metoclopramide,CCN(CC)CCN=C(O)c1cc(Cl)c(N)cc1OC,76,1
bupranolol,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,10,0
lidocaine,CCN(CC)CC(O)=Nc1c(C)cccc1C,35,0
atenolol,CC(C)NCC(O)COc1ccc(CC(=N)O)cc1,97,1
trimetazidine,COc1ccc(CN2CCNCC2)c(OC)c1OC,89,1
bucolome,CCCCC1C(=O)N(C2CCCCC2)C(=O)N=C1O,100,1
sematilide,CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,<50[2],0
xanomeline,CCCCCCOc1nsnc1C1=CCCN(C)C1,1,0
tapentadol,CCC(c1cccc(O)c1)C(C)CN(C)C,32,0
oseltamivir,CCC(CC)OC1C=C(C(=O)O)CC(N)C1N=C(C)O,79,1
amiprilose,CN(C)CCCOC1C(C(O)CO)OC2OC(C)(C)OC21,63,1
succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0,0
efavirenz,OC1=Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,42.5,0
tenidap,N=C(O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,89,1
brotizolam,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,70,1
clonazepam,O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1Cl)=NCC(O)=N2,98,1
phenindione,O=C1c2ccccc2C(=O)C1c1ccccc1,97,1
quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,0
nordazepam,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1,50,1
thyroxine,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,65,1
nitrazepam,O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1)=NCC(O)=N2,78,1
carprofen,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,90,1
carbazepine-10,N=C(O)N1c2ccccc2C2OC2c2ccccc21,90,1
phenytoin,OC1=NN=C(O)C1(c1ccccc1)c1ccccc1,90,1
tucaresol,O=Cc1c(O)cccc1OCc1ccc(C(=O)O)cc1,>50[2],1
lumiracoxib,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,74,1
flurbiprofen,CC(C(=O)O)c1ccc(-c2cccc(F)c2)cc1,92,1
piroxicam,CN1C(C(O)=Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,99,1
ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,99,1
cefaclor,NC(C(O)=NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,90,1
benzthiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CN(CSCc1ccccc1)S2(=O)=O,>50[2],1
zomepirac,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,100,1
flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,16,0
eslicarbazepine,N=C(O)N1c2ccccc2CC(O)c2ccccc21,90,1
ceftibuten,N=c1[nH]c(C(=CCC(=O)O)C(O)=NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,82.5,1
fenoprofen,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,80,1
norzimeldine,CNCC=C(c1ccc(Br)cc1)c1cccnc1,66,1
xipamide,Cc1cccc(C)c1N=C(O)c1cc(S(N)(=O)=O)c(Cl)cc1O,73,1
modafinil,[NH2+]=C(O)CS(=O)C(c1ccccc1)c1ccccc1,80,1
tolmetin,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,95,1
adrafinil,O=S(CC(O)=[NH+]O)C(c1ccccc1)c1ccccc1,80,1
nabumetone,COc1ccc2cc(CCC(C)=O)ccc2c1,35,0
ticarcillin,CC1(C)SC2C(N=C([O-])C(C(=O)[O-])c3ccsc3)C([O-])N2C1C(=O)O,0,0
agomelatine,COc1ccc2cccc(CCN=C(C)O)c2c1,5,0
chlorpheniramine,CN(C)CCN(c1ccc(Cl)cc1)c1ccccn1,41,0
pirlindole,Cc1ccc2c(c1)c1c3n2CCNC3CCC1,20,0
ramixotidine,CN(C)c1ccc(CSCCN=C(O)c2ccc[n+]([O-])c2)o1,60,1
rizatriptan,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,45,0
ximoprofen,CC(C(=O)O)c1ccc(C2CCCC(=NO)C2)cc1,98,1
fenspiride,OC1=NCC2(CCN(CCc3ccccc3)CC2)O1,90,1
fluvoxamine,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,53,1
primaquine,COc1cc(NC(C)CCCN)c2ncccc2c1,96,1
ketobemidone,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,34,0
meperidine,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,52,1
capecitabine,CCCCCOC(O)=Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,100,1
milnacipran,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,84,1
mepindolol,Cc1cc2c(OCC(O)CNC(C)C)cccc2[nH]1,82,1
nipradilol,CC(C)NCC(O)COc1cccc2c1OCC(O[N+](=O)[O-])C2,35,0
s-adenosylmethionine,C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,<50[2],0
gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,98,1
n-acetylprocainamide,CCN(CC)CCNC(=O)c1ccc(N=C(C)O)cc1,83,1
amdinocillin,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,5,0
cyclacillin,CC1(C)SC2C(N=C(O)C3(N)CCCCC3)C(=O)N2C1C(=O)O,>80[1],1
sulpiride,CCN1CCC(CN=C(O)c2cc(S(N)(=O)=O)ccc2OC)C1,27,0
meptazinol,CCC1(c2cccc(O)c2)CCCCN(C)C1,9,0
alprenolol,C=CCc1ccccc1OCC(O)CNC(C)C,8,0
oxprenolol,C=CCOc1ccccc1OCC(O)CNC(C)C,44,0
tiapride,CCN(CC)CCN=C(O)c1cc(S(C)(=O)=O)ccc1OC,75,1
recainam,Cc1cccc(C)c1NC(O)=NCCCNC(C)C,73,1
metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,38,0
peramivir,CCC(CC)C(N=C(C)O)C1C(NC(=N)N)CC(C(=O)O)C1O,≈0[1],0
marimastat,CN=C(O)C(N=C(O)C(CC(C)C)C(O)C(O)=NO)C(C)(C)C,>80[1],1
ataluren,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,>80[1],1
estazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,93,1
cinchophen,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,>80[1],1
lormetazepam,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,75,1
fludiazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,>50[2],1
benoxaprofen,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,95,1
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,99,1
clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,90,1
nimetazepam,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,95,1
mebendazole,COC(O)=Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,22,0
chlordiazepoxide,CN=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1,99,1
lansoprazole,Cc1c(OCC(F)(F)F)cc[nH+]c1CS(=O)c1nc2ccccc2[nH]1,81,1
valdecoxib,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,83,1
fenbufen,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,78,1
clotiazepam,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,2.5,0
pantoprazole,COc1cc[nH+]c(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,77,1
sitagliptin,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,87,1
atreleuton,CC(C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(=N)O,>50[2],1
fosphenytoin,O=C1N(COP(=O)(O)O)C(O)=NC1(c1ccccc1)c1ccccc1,≈0[1],0
epinastine,N=C1NCC2c3ccccc3Cc3ccccc3N12,40,0
nevirapine,Cc1cccc2c1N=C(O)c1cccnc1N2C1CC1,93,1
apomorphine,Oc1ccc2c(c1O)-c1cccc3c1C(C2)NCC3,10,0
indapamide,CC1Nc2ccccc2C1N=C(O)c1ccc(Cl)cc1S(N)(=O)=O,90,1
metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,65,1
clopidogrel,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,50,1
fenoldopam,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,6,0
daltroban,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,>80[1],1
febuxostat,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,84,1
