Compound ID,InChIKey,SMILES,logS,logP,MW,similarity_scores_with_oral_bioavail_test_dataset
C8021,XWSLYQXUTWUIKM-UHFFFAOYSA-N,COP(=S)(OC)OC,-1.334364752,1.8007,156.141,0.1
C1518,QGBSISYHAICWAH-UHFFFAOYSA-N,N#CN=C(N)N,-0.31,0.14148,84.08,0.1
C9539,RMVOJBZIVYFSOQ-RFKZQXLXSA-N,[NH3+][C@H]1CC[C@H]1S.[Cl-],0.478236309,-3.3069,139.647,0.1
C9540,RMVOJBZIVYFSOQ-MMALYQPHSA-N,[NH3+][C@H]1CC[C@@H]1S.[Cl-],0.478236309,-3.3069,139.647,0.1
C9384,BUCTXJLMXKQBJP-UHFFFAOYSA-L,C[N+](CCCCCCC[N+](C)(C)C)(C)C.[I-].[I-],0.327697074,-3.6427,470.216,0.101694915
C9400,LZYYNZUWBANDMX-UHFFFAOYSA-L,C[N+](CCCCCC[N+](C)(C)C)(C)C.[I-].[I-],0.340849469,-4.0328,456.189,0.101694915
C9419,SRFSMBZBBSVMKO-UHFFFAOYSA-L,C[N+](CCCCC[N+](C)(C)C)(C)C.[I-].[I-],0.354412691,-4.4229,442.162,0.101694915
C9591,PYIHTIJNCRKDBV-UHFFFAOYSA-L,C[N+](CCCCCC[N+](C)(C)C)(C)C.[Cl-].[Cl-],0.5633826,-4.0328,273.286,0.101694915
C1013,DRUIESSIVFYOMK-UHFFFAOYSA-N,N#CC(Cl)(Cl)Cl,-2.1700001,1.88018,144.387,0.102040816
C9632,OINMNSFDYTYXEQ-UHFFFAOYSA-M,BrCC[N+](C)(C)C.[Br-],0.607348764,-1.9085,246.971,0.102564103
C267,RLPGDEORIPLBNF-UHFFFAOYSA-N,CC(C(C)C)C(C)C,-4.8000002,2.9345,114.229,0.103448276
C853,HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1CCC=CC1,-2.5899999,2.1166,82.1436,0.103448276
C1033,LPIQUOYDBNQMRZ-UHFFFAOYSA-N,C1CC=CC1,-2.0999999,1.7265,68.117,0.103448276
C7326,QVHWOZCZUNPZPW-UHFFFAOYSA-N,FC1=C(F)C(C1(F)F)(F)F,-1.867776096,2.4212,162.033,0.103448276
C7993,FBMVFHKKLDGLJA-UHFFFAOYSA-N,CC1NC(C)SC(S1)C,-1.367880166,2.4228,163.304,0.103448276
C9623,WPUGGWWDFLGUEX-UHFFFAOYSA-M,[O-][Cl](=O)(=O)=O.CN(C=CC=CC=[N+](C)C)C,0.597403334,1.1751,252.695,0.103448276
C1183,LGXVIGDEPROXKC-UHFFFAOYSA-N,ClC(=C)Cl,-1.64,1.9352,96.9433,0.105263158
C1244,UBOXGVDOUJQMTN-UHFFFAOYSA-N,ClCC(Cl)Cl,-1.48,2.0289,133.404,0.105263158
C1293,IBYHHJPAARCAIE-UHFFFAOYSA-N,ClCCBr,-1.3200001,1.6201,143.41,0.105263158
C9184,WIMYYXRANPYBED-UHFFFAOYSA-N,CNN=CC,0.11048143,0.6024,72.109,0.105263158
C9458,HLXQFVXURMXRPU-UHFFFAOYSA-L,C[N+](CCCCCCCCCC[N+](C)(C)C)(C)C.[Br-].[Br-],0.378510059,-2.4724,418.294,0.105263158
C9509,VFBNKSCGJOBFNU-UHFFFAOYSA-L,C[N+](CCCCCCC[N+](C)(C)C)(C)C.[Br-].[Br-],0.424556955,-3.6427,376.215,0.105263158
C9517,FAPSXSAPXXJTOU-UHFFFAOYSA-L,C[N+](CCCCCC[N+](C)(C)C)(C)C.[Br-].[Br-],0.441058748,-4.0328,362.188,0.105263158
C9527,GJVFBWCTGUSGDD-UHFFFAOYSA-L,C[N+](CCCCC[N+](C)(C)C)(C)C.[Br-].[Br-],0.458212407,-4.4229,348.161,0.105263158
C3847,YFJWYKLLZFEYFL-UHFFFAOYSA-N,FC1=C(C)C(F)(F)C(C(C1(F)F)(F)F)(F)F,-4.210369022,3.7847,258.084,0.106060606
C1339,NOMHBBFEJSVGSC-UHFFFAOYSA-N,ClCCS(=O)CCCl,-1.16,2.0784,175.077,0.106382979
C1710,RNFNDJAIBTYOQL-UHFFFAOYSA-N,OC(C(Cl)(Cl)Cl)O	,1.7,0.6673,165.403,0.106382979
C1037,FMKOJHQHASLBPH-UHFFFAOYSA-N,CC(I)C,-2.0899999,1.8298,169.992,0.107142857
C1208,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,CC(Br)C,-1.59,1.7897,122.992,0.107142857
C1380,UVKXJAUUKPDDNW-NSCUHMNNSA-N,C/C=C/CC#N,-0.95999998,1.47618,81.1158,0.107142857
C1,ONXPZLFXDMAPRO-UHFFFAOYSA-N,Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,-11.62,9.8876,498.658,0.108108108
C1064,UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,-2.0,2.3765,133.404,0.108108108
C9115,FOCVUCIESVLUNU-UHFFFAOYSA-N,S=P(N1CC1)(N1CC1)N1CC1,0.001793448,0.622,189.218,0.108108108
C9537,LPMGBZUUAYQFCO-UHFFFAOYSA-L,C[N+](CCCC[N+](C)(C)C)(C)C.[Br-].[Br-],0.476071519,-4.813,334.135,0.108108108
C9546,GDVWHZUHXUQPDF-UHFFFAOYSA-L,C[N+](CCC[N+](C)(C)C)(C)C.[Br-].[Br-],0.494696675,-5.2031,320.108,0.108108108
C1611,WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCCO1,0.56,0.7968,72.1057,0.108695652
C121,ZXFXBSWRVIQKOD-CFKMXOCQSA-N,Cl[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@H]1[C@]1(Cl)C(=C([C@]2(C1(Cl)Cl)Cl)Cl)Cl,-6.29,4.4527,389.317,0.109375
C9563,SYYSYOYRAULAGV-UHFFFAOYSA-M,C(=C/C=[N+]/1\CC=CC1)C=CN1CC=CC1.[O-][Cl](=O)(=O)=O,0.521810234,1.6922,300.738,0.109375
C3539,LJPLFJPOUHWADA-UHFFFAOYSA-N,FC(C(C(Cl)(Cl)Cl)(F)F)F,-4.492402209,3.257,219.393,0.111111111
C4352,LWHDQPLUIFIFFT-UHFFFAOYSA-N,BrC1=C(Br)C(=O)C(=C(C1=O)Br)Br,-3.842420661,3.141,423.679,0.111111111
C4536,UHMWWIKRVZTBBR-UHFFFAOYSA-N,FCC(C(Cl)(F)F)(F)F,-3.70023743,2.4228,168.493,0.111111111
C538,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C(C)C)C,-3.6500001,2.2984,86.1754,0.111111111
C5450,FXSNEEBOGAOVIM-UHFFFAOYSA-N,FC(C(C(Cl)F)(F)F)F,-3.068214216,2.4212,168.493,0.111111111
C6677,FTCYKZUJBNQKIH-UHFFFAOYSA-N,ClCC[NH+](CC(=C)Cl)CCCl.[Cl-],-2.289156587,-1.8946,252.997,0.111111111
C1098,CFXQEHVMCRXUSD-UHFFFAOYSA-N,ClCC(CCl)Cl,-1.92,2.0714,147.431,0.111111111
C1304,SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,-1.29,1.81,98.9592,0.111111111
C8552,MORNELSZOBVPQN-UHFFFAOYSA-M,C[N+]1(CCCC1)C1CSSC1.[I-],-0.845299336,-1.0468,317.254,0.111111111
C8686,HFFLGKNGCAIQMO-UHFFFAOYSA-N,O=CC(Cl)(Cl)Cl,-0.691314351,1.5555,147.388,0.111111111
C1557,DHXVGJBLRPWPCS-UHFFFAOYSA-N,C1CCCOC1,-0.029999999,1.1869,86.1323,0.111111111
C1589,CDAISMWEOUEBRE-CDRYSYESSA-N,O[C@@H]1[C@@H](O)[C@H](O)[C@H]([C@@H]([C@H]1O)O)O,0.34999999,-3.8346,180.156,0.111111111
C9749,HLNPDVKKRBWQAA-UHFFFAOYSA-M,C[N+](N)(C)C.[I-],0.69456479,-2.7294,202.037,0.111111111
C9831,IDVSELVVGYIOEX-UHFFFAOYSA-M,C=C[N+](C)(C)C.[Br-],0.779729736,-2.1599,166.059,0.111111111
C9916,NIPLIJLVGZCKMP-UHFFFAOYSA-M,C=C[N+](C)(C)C.[OH-],0.986467617,0.6593,103.163,0.111111111
C9942,RSFOTOSOKJMMCB-UHFFFAOYSA-N,CN(C=O)N,1.130281439,0.2845,74.0818,0.111111111
C9651,APCZGLLBEWTYMV-UHFFFAOYSA-M,C[N+]1=C(C)SCC1.[I-],0.614204322,-2.2433,243.109,0.113207547
C8779,XEZNGIUYQVAUSS-UHFFFAOYSA-N,O1CCOCCOCCOCCOCCOCC1,-0.547528954,0.0996,264.315,0.113636364
C8840,XQQZRZQVBFHBHL-UHFFFAOYSA-N,O1CCOCCOCCOCC1,-0.452664256,0.0664,176.21,0.113636364
C8885,VFTFKUDGYRBSAL-UHFFFAOYSA-N,O1CCOCCOCCOCCOCC1,-0.397624653,0.083,220.263,0.113636364
C9733,SYNHCENRCUAUNM-UHFFFAOYSA-N,ClCC[N+](CCCl)(C)[O-].Cl,0.68087936,2.2313,208.514,0.113636364
C469,LEHOTFFKMJEONL-UHFFFAOYSA-N,O=c1[nH]c2c([nH]1)[nH]c(=O)[nH]c2=O,-3.9300001,-1.7672,168.11,0.114285714
C1266,ULYZAYCEDJDHCC-UHFFFAOYSA-N,CC(Cl)C,-1.41,1.6336,78.5407,0.114285714
C1362,WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,-1.0599999,1.464,98.9592,0.114285714
C8356,YFESJHPTNWYOCO-UHFFFAOYSA-N,OCC(CCl)(CCl)CO,-1.027810418,0.435,173.038,0.114285714
C9343,LCDSUTOOQPRVAF-UHFFFAOYSA-L,CCCC[N+](CCOCC[N+](C)(C)C)(CC)C.[I-].[I-],0.300814648,-4.0162,500.241,0.114285714
C9361,OHDRNJZYQXBZGG-UHFFFAOYSA-L,CCC[N+](CCOCC[N+](C)(C)C)(CC)C.[I-].[I-],0.313166279,-4.4063,486.215,0.114285714
C9377,QSXVNTBKSUOTAI-UHFFFAOYSA-L,O=S(CC[N+](C)(C)C)CC[N+](C)(C)C.[I-].[I-],0.3222106,-4.9788,476.2,0.114285714
C9849,NKPKVNRBHXOADG-UHFFFAOYSA-N,C1CN2CCOB(O1)OCC2,0.804166742,-0.7118,156.975,0.114285714
C874,NNPPMTNAJDCUHE-UHFFFAOYSA-N,CC(C)C,-2.55,1.6623,58.1222,0.115384615
C8979,KPWDGTGXUYRARH-UHFFFAOYSA-N,OCC(Cl)(Cl)Cl,-0.253691061,1.3489,149.404,0.115384615
C9781,IXACLQSORYJAHN-UHFFFAOYSA-M,FCC[N+](C)(C)C.[Br-],0.730328334,-2.3339,186.066,0.115384615
C69,LWLJUMBEZJHXHV-UHFFFAOYSA-N,ClC1=C(Cl)C(=C([C@]1(Cl)[C@]1(Cl)C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,-7.2800002,7.7256,474.637,0.11627907
C219,VUNCWTMEJYMOOR-UHFFFAOYSA-N,ClC1=C(Cl)C(C(=C1Cl)Cl)(Cl)Cl,-5.1799998,4.5523,272.772,0.11627907
C7708,AFLXUQUGROGEFA-UHFFFAOYSA-N,ClCC[N+](CCCl)(C)[O-],-1.594178042,1.4293,172.053,0.11627907
C8477,YFDSDPIBEUFTMI-UHFFFAOYSA-N,OCC(Br)(Br)Br,-0.919934433,1.8172,282.757,0.11627907
C118,FRCCEHPWNOQAEU-BRXBUPTESA-N,Cl[C@H]1C=C[C@H]2[C@@H]1[C@]1(Cl)C(=C([C@]2(C1(Cl)Cl)Cl)Cl)Cl,-6.3200002,5.2415,373.318,0.116666667
C9572,FXIHTBJWEKIXHE-UHFFFAOYSA-N,SC/C(=[NH+]\CCC[NH+]1CCOCC1)/N.[Cl-].[Cl-],0.537232245,-7.0633,290.254,0.116883117
C5845,YMRMDGSNYHCUCL-UHFFFAOYSA-N,FC(C(Cl)(F)F)Cl,-2.818990504,2.3524,152.931,0.117647059
C6810,LVYJIIRJQDEGBR-UHFFFAOYSA-N,FCCI,-2.199049224,1.3909,173.956,0.117647059
C1166,BCQZXOMGPXTTIC-SFOWXEAESA-N,Cl[C@@H](C(F)(F)F)Br,-1.71,2.5085,197.382,0.117647059
C7576,BCQZXOMGPXTTIC-UHFFFAOYSA-N,ClC(C(F)(F)F)Br,-1.685706535,2.5085,197.382,0.117647059
C7934,BABMCXWQNSQAOC-UHFFFAOYSA-M,C[Hg]Cl,-1.429925287,1.2708,251.078,0.117647059
C8465,IHJUECRFYCQBMW-UHFFFAOYSA-N,CC(C#CC(O)(C)C)(O)C,-0.930437151,0.5316,142.196,0.117647059
C1539,KAESVJOAVNADME-UHFFFAOYSA-N,c1ccc[nH]1,-0.17,1.0147,67.0892,0.117647059
C1580,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,0.25999999,0.52988,41.0519,0.117647059
C9338,BDMWAACMYKFTRK-UHFFFAOYSA-L,CC[N+](CCS(=O)CC[N+](C)(C)C)(CC)C.[I-].[I-],0.297350648,-4.1986,504.253,0.117647059
C1612,HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,0.56999999,0.3713,56.0633,0.117647059
C1613,TZIHFWKZFHZASV-UHFFFAOYSA-N,COC=O,0.57999998,0.4251,60.052,0.117647059
C9360,OBOWRTHMVVMXTI-UHFFFAOYSA-L,CC[N+](CCOCCC[N+](C)(C)C)(CC)C.[I-].[I-],0.313166279,-4.4063,486.215,0.118644068
C9442,DXXUGBPKQDTBQW-UHFFFAOYSA-L,Clc1c2C[N+](Cc2c(c(c1Cl)Cl)Cl)(C)CC[N+](C)(C)C.[Cl-].[Cl-],0.367514343,-1.5666,429.04,0.118644068
C3367,KYWMWUUMCDZISK-UHFFFAOYSA-N,NC1=NC(NC1(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,-4.664614005,3.0958,357.1,0.119047619
C822,PRLMFHYBTOQSLN-UHFFFAOYSA-N,CSc1nc(nc(n1)N(C)C)N(C)C,-2.6800001,0.7255,213.303,0.119047619
C6861,ANZGQGAJGAEASQ-UHFFFAOYSA-L,ClCC[N+]1(C)CC[N+](CC1)(C)CCCl.[Cl-].[Cl-],-2.170011327,-4.7036,312.107,0.119047619
C485,OTTZHAVKAVGASB-HYXAFXHYSA-N,CCCC/C=C\C,-3.8199999,2.7527,98.1861,0.12
C1473,GOOHAUXETOMSMM-GSVOUGTGSA-N,C[C@@H]1CO1,-0.58999997,0.4051,58.0791,0.12
C1615,TZYQTWHRLVDYPL-UHFFFAOYSA-N,O=C1CC=NC=N1,0.58999997,-1.113,96.0874,0.12
C9694,METVSRFIOHSNJX-UHFFFAOYSA-N,ClC[Si]12OCCN(CCO1)CCO2,0.65027966,0.4385,223.729,0.12
C2993,CRDAMVZIKSXKFV-YFVJMOTDSA-N,OC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C,-5.11739824,4.3979,222.366,0.120689655
C8973,SXBBEBWJKCVUGH-UHFFFAOYSA-N,SCC(NCCC#N)(C)C.Cl,-0.255989013,2.39098,194.725,0.120689655
C9342,KDJPXQUBHNBSKZ-UHFFFAOYSA-L,CC[N+](CCCOCCC[N+](C)(C)C)(CC)C.[I-].[I-],0.300814648,-4.0162,500.241,0.120689655
C4512,BKWAVXQSZLEURV-UHFFFAOYSA-N,ClC(C(F)(F)F)C(F)(F)F,-3.717966373,2.7184,186.483,0.121212121
C1182,IBXNCJKFFQIKKY-UHFFFAOYSA-N,CCCC#C,-1.64,1.4197,68.117,0.121212121
C7742,UMBQWJHNUSDWMU-UHFFFAOYSA-N,OCC(C(C)(C)C)(CO)C,-1.57064393,1.0234,146.227,0.121212121
C7942,VMKWQRRZHFSZPG-UHFFFAOYSA-N,CNC(C(C)(C)C)(C)C.Cl,-1.424151023,3.2234,165.704,0.121212121
C1526,BZLVMXJERCGZMT-UHFFFAOYSA-N,COC(C)(C)C,-0.23999999,1.4313,88.1482,0.121212121
C9152,CSNNHWWHGAXBCP-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-].[Mg+2],0.065952348,-0.2572,120.368,0.121212121
C168,CRQQGFGUEAVUIL-UHFFFAOYSA-N,N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,-5.6399999,4.04356,265.911,0.12195122
C6962,CKJMHSMEPSUICM-UHFFFAOYSA-N,[O]N(C(C)(C)C)C(C)(C)C,-2.113756743,2.2309,144.235,0.12195122
C9382,FOSXBINENBQXPD-UHFFFAOYSA-L,CC(C[N+](C)(C)C)OC(C[N+](C)(C)C)C.[I-].[I-],0.325879536,-4.7996,472.188,0.12195122
C9736,MGFVNWXRFBPCJJ-UHFFFAOYSA-M,ClCC[N+](CCCl)(C)C.[Cl-],0.685006341,-1.4556,206.541,0.12195122
C9611,SHCLHGQKJMOYER-UHFFFAOYSA-M,CCOCC[N+](C)(C)C.[I-],0.586480612,-2.2669,259.128,0.12244898
C9650,XWBIZYHDVFHTID-UHFFFAOYSA-M,CCCC[N+](C)(C)C.[I-],0.614157877,-1.5033,243.129,0.12244898
C9887,IJRVQAXSAHHCNH-UHFFFAOYSA-M,CCCC[N+](C)(C)C.[OH-],0.875381674,1.3159,133.232,0.12244898
C904,GLZPCOQZEFWAFX-JXMROGBWSA-N,OC/C=C(/CCC=C(C)C)\C,-2.46,2.6714,154.249,0.122807018
C9326,CWVGVPZANOTPDH-UHFFFAOYSA-L,CC[N+](CCOCC[N+]1(C)CCCCC1)(CC)C.[I-].[I-],0.290510428,-3.9133,512.252,0.123076923
C366,CXOWYJMDMMMMJO-UHFFFAOYSA-N,CCCC(C)(C)C,-4.3600001,2.8326,100.202,0.125
C4292,XGJBEXXFJLMBJT-UHFFFAOYSA-N,CCC[NH+](C(CCC)CCC)CCC.[Cl-],-3.88406675,-0.3359,235.837,0.125
C4465,PXZAWHSJYIECNQ-UHFFFAOYSA-N,C1CN1P1(=NP(=NP(=N1)(N1CC1)N1CC1)(N1CC1)N1CC1)N1CC1,-3.754399482,-0.3336,387.301,0.125
C4715,IAJHEMNFBQPVCL-UHFFFAOYSA-N,FCCCCCCCC#C,-3.595444311,2.9297,142.214,0.125
C6274,RIUFVBVJZNDZOJ-UHFFFAOYSA-N,FCCCCCC#C,-2.552375394,2.1495,114.161,0.125
