Compound ID,InChIKey,SMILES,logS,logP,MW,similarity_scores_with_oral_bioavail_test_dataset
C3667,MFHDWFVXLYMMKW-UHFFFAOYSA-N,[O-]P(=O)(O)O.COc1cc(NCCCCC[NH2+]C(C)C)c2c(c1)cccn2,-4.373551812,2.38,399.422,0.265625
C3922,CKURLAXVGVRCEI-UHFFFAOYSA-N,CCCCN1CCC(CC1)(OC(=O)CCC)C1CCCCC1.Cl,-4.158804604,5.2846,345.948,0.265625
C4225,BIRIVPOTERXIOW-UHFFFAOYSA-N,OC(=O)c1c[nH]c2c(c1=O)ccc(c2)C(F)(F)F,-3.943349307,2.2451,257.165,0.265625
C4511,MCXQUAWISQTVDK-UHFFFAOYSA-N,OC(=O)C(=O)[O-].CC[NH+]1CCCC(C1)OC(=O)Nc1ccccc1Cl,-3.718388704,1.4188,372.801,0.265625
C4959,BZMOMWMLUGUGGX-UHFFFAOYSA-N,CCN1CCC(C1)OC(=O)Nc1c(C)cccc1C,-3.414564661,2.957,262.347,0.265625
C5035,URIZBPYQIRFMBF-UHFFFAOYSA-N,OC(=O)CCC(=O)OC(c1oc2c(c1C)cc(cc2)C1=CC(=O)OC1)C,-3.360621544,3.1504,358.342,0.265625
C5343,DZJTUNPUCLMFDQ-UHFFFAOYSA-N,NC(=O)OC(COc1ccccc1C)COC(C)C,-3.139237862,2.963,267.321,0.265625
C5378,MDXNMVCZLPPTQC-RMKNXTFCSA-N,CCC(=O)NN1C2CCC1CN(C2)C/C=C/c1ccccc1,-3.11078992,2.5563,299.411,0.265625
C5696,LNIMUDTVDWATDY-UHFFFAOYSA-N,Clc1cccc(c1)N1CCN(CC1)CC1CN=C(O1)N,-2.912838157,1.3143,294.78,0.265625
C5981,VHAXHUSUMSLYQT-LCYFTJDESA-N,CCN(/N=C\C(=O)c1ccc(cc1)[N+](=O)[O-])CC,-2.731089023,2.6283,249.266,0.265625
C6045,MLAXRSNOPDZUTC-UHFFFAOYSA-N,OC(c1cccc2c1cccc2)CN1CCCCC1.Cl,-2.686239093,4.099,291.816,0.265625
C6110,PXOZLYJMAQPPEV-UHFFFAOYSA-N,CCOc1c(OC)cccc1C(=O)OCC[NH+](CC)CC.[Cl-],-2.654637482,-1.8206,331.835,0.265625
C6235,YQTAUCCALHOTQC-UHFFFAOYSA-N,O=C1C(CCN1c1ccc(cc1)F)N1CCCCC1,-2.570039947,2.4198,262.323,0.265625
C6638,LIAWQASKBFCRNR-UHFFFAOYSA-N,CCOc1ccc(cc1)NC(=O)CC(O)C,-2.321077058,1.8677,223.268,0.265625
C6915,SMMNJQNEWMPPDF-UHFFFAOYSA-N,CN1CCCC1c1c[nH]c2c1cc(C)cc2,-2.143525768,3.1809,214.306,0.265625
C7337,XXUMSZSOCZWEAS-UHFFFAOYSA-N,CC(C(c1ccccc1)(C(=O)OCCC[NH+](C)C)O)C.[Cl-],-1.856999874,-2.388,315.836,0.265625
C8516,SBQYWGXLAKUAKB-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(nc1)OCCCNCCSS(=O)(=O)O,-0.881696286,2.8792,337.373,0.265625
C9653,SNESGMZASZVGNN-UHFFFAOYSA-M,COc1cc2C=[N+](C)CCc2cc1OC.[Cl-],0.616696398,-1.7161,241.714,0.265625
C2133,DDZPFBBCIRKVTQ-UHFFFAOYSA-N,CCCCOc1ccc(cc1)OCC(=O)N(c1cccc(c1)OC)CCC[NH+](CC)CC.[Cl-],-6.708185268,0.6049,479.052,0.265822785
C3811,CKQISVVSBPQHHP-UHFFFAOYSA-N,Cc1cc(OCCCCCNCCSS(=O)(=O)O)nc2c1cccc2Cl,-4.240146178,5.343,418.959,0.265822785
C4579,VKVXZTDIZODPAP-UHFFFAOYSA-N,CCN(C(=O)N1CCN(CC1)CC(=O)NN=Cc1ccc(o1)[N+](=O)[O-])CC,-3.674990168,1.5072,380.399,0.265822785
C59,PXAGFNRKXSYIHU-UHFFFAOYSA-N,Clc1cccc(c1c1c(Cl)cccc1Cl)Cl,-7.3899999,5.9672,291.988,0.266666667
C76,HLQDGCWIOSOMDP-UHFFFAOYSA-N,Clc1cc(c2ccccc2)c(c(c1Cl)Cl)Cl,-7.1599998,5.9672,291.988,0.266666667
C2020,JYWIYHUXVMAGLG-UHFFFAOYSA-N,Clc1cc(NC(=O)c2c(O)c(Cl)cc(c2Cl)Cl)c(c(c1)Cl)O,-7.106005414,5.6901,401.457,0.266666667
C107,YTBRNEUEFCNVHC-UHFFFAOYSA-N,Clc1ccc(cc1)c1ccc(cc1)Cl,-6.5599999,4.6604,223.098,0.266666667
C2209,ZYMUNTZVOUBQAI-JSAVKQRWSA-N,COc1ccc(cc1)/C=C/1\CCC/C(=C\c2ccc(cc2)OC)/C1=O,-6.467380911,4.9238,334.408,0.266666667
C2269,TWLNPRLUHNFDCS-UHFFFAOYSA-N,OC(=O)C(=O)[O-].CC[NH+](CCn1c2cc(Cl)ccc2c2c1cc(OC)cc2)CC,-6.297832757,1.2021,420.887,0.266666667
C2322,ZJYIVGNBYBGBFS-UHFFFAOYSA-N,CCOC(=O)N1CCN(CC1)c1nc(c(o1)c1ccccc1)c1ccccc1,-6.170312346,4.29,377.436,0.266666667
C2531,AAZHUVOGSCDTKW-UHFFFAOYSA-N,OC(=O)C(=O)[O-].COc1ccc2c(c1)n(CCC[NH+](C)C)c1c2ccc(c1)Cl,-5.779501512,0.812,406.86,0.266666667
C2597,HRNKLYSRKFRIQO-UHFFFAOYSA-N,CCCCOc1ccc(cc1)OCC(=O)N(c1cccc(c1)OCC)CCN(C)C.Cl,-5.667408659,5.0398,450.999,0.266666667
C2598,HDGAKKHUALYJSA-UHFFFAOYSA-N,CCC(C(c1ccccc1)(c1ccccc1)CC([NH+](C)C)C)Cl.[Cl-],-5.665743421,0.9172,366.368,0.266666667
C2647,XJGBDJOMWKAZJS-UHFFFAOYSA-N,OC(=O)C(Oc1ccc(cc1)C1CCCc2c1cccc2)(C)C,-5.579689876,4.3968,310.387,0.266666667
C2883,GJCOSYZMQJWQCA-UHFFFAOYSA-N,c1ccc2c(c1)Oc1c(C2)cccc1,-5.252853031,3.3831,182.218,0.266666667
C2884,DHDVOXBKOXIIBW-UHFFFAOYSA-N,C=CCc1ccccc1OCC(CN1CCN(CC1)c1ccc(c(c1)C)C)O.Cl.Cl,-5.251693774,5.2007,453.445,0.266666667
C2911,KNIVGGRCJWRCDV-UHFFFAOYSA-N,CC(N(C(C)C)CCC(c1ccccc1)(c1ccccc1)C(=O)N)C,-5.211488923,4.6672,338.486,0.266666667
C2994,WDIZLVLUDKKQLC-UHFFFAOYSA-N,Cc1cccc(c1C(c1c(C)cccc1C)OCCOCC[NH+](C)C)C.[Cl-],-5.114697424,0.1913,391.975,0.266666667
C3058,POBVODLJHWXYOA-UHFFFAOYSA-N,N(Cc1cccs1)CC1CCC(CC1)CNCc1cccs1.Cl.Cl,-5.034892862,6.8812,407.464,0.266666667
C3312,STIGEALBGPUGBV-UHFFFAOYSA-M,NC(=O)NO[Sb](=O)(c1ccc(cc1)N)O,-4.716286716,1.4964,321.932,0.266666667
C298,CWRYPZZKDGJXCA-UHFFFAOYSA-N,c1cc2cccc3c2c(c1)CC3,-4.6300001,2.9384,154.208,0.266666667
C3555,NKOLMUVZDOHNNB-UHFFFAOYSA-N,OC(=O)CCc1ccc2c(c1)nc(s2)c1ccccc1,-4.480575962,3.9805,283.345,0.266666667
C3752,JFKZWPHLKRLWGY-HPJBNNNXSA-N,COc1cc(/C=C/C(CCN2CCN(CC2)c2ccc(cc2)F)O)cc(c1OC)OC.Cl.Cl,-4.288644504,5.0448,503.434,0.266666667
C3804,FOXWLWYGXYMRQO-UHFFFAOYSA-N,CCC(=O)c1ccc(cc1)OCC(CN1CCN(CC1)c1ccc(c(c1)C)C)O,-4.248029138,3.4609,396.522,0.266666667
C3853,MWYHLEQJTQJHSS-UHFFFAOYSA-N,CCCc1c(OCCCCc2n[nH]nn2)ccc(c1O)C(=O)C,-4.204088623,2.4621,318.371,0.266666667
C3923,GMNBUMFCZAZBQG-UHFFFAOYSA-N,CCC(C(c1ccccc1)(c1ccccc1)CC([NH+](C)C)C)O.[Cl-],-4.157672766,-0.3293,347.922,0.266666667
C4100,FHKFDOULAQDMMV-UHFFFAOYSA-N,CCCC(CCC)C[NH2+]Cc1ccccc1.[Cl-],-4.044339491,-0.0296,255.827,0.266666667
C4160,NMTBSNPBIGRZBL-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(cc1)n1cc(nc1C)[N+](=O)[O-],-3.997553697,3.0435,248.195,0.266666667
C470,DNTHHIVFNQZZRD-QYCNPIGJSA-N,O=C1NC(=O)[C@@H]2[C@H]1[C@H]1/C(=C(/c3ccccn3)\c3ccccc3)/[C@@H]2C=C1[C@](c1ccccn1)(c1ccccc1)O,-3.9300001,4.6182,511.57,0.266666667
C4435,GMBMAHMMQCNOGV-UHFFFAOYSA-N,CN(C1(CCCCC1)CNC(=O)c1ccccc1)C,-3.77512787,3.0718,260.375,0.266666667
C4528,RIHJGBQERCBTIA-UHFFFAOYSA-N,OC(=O)C(=O)O.CCOc1c(OC)cccc1C(=O)NCCCN(CC)CC,-3.704405628,2.1021,398.451,0.266666667
C581,MXXWOMGUGJBKIW-YPCIICBESA-N,O=C(N1CCCCC1)/C=C/C=C/c1ccc2c(c1)OCO2,-3.46,2.9351,285.338,0.266666667
C582,MXXWOMGUGJBKIW-BPMFVRGZSA-N,O=C(N1CCCCC1)/C=C\C=C\c1ccc2c(c1)OCO2,-3.46,2.9351,285.338,0.266666667
C4937,REVYDCJKWVXJGT-UHFFFAOYSA-N,OS(=O)(=O)NC1CCCCC1.CC(C(c1ccccc1)(C#N)CC(N(C)C)C)C,-3.431072703,5.62738,423.612,0.266666667
C5150,SNJDSTGQYRTZJT-UHFFFAOYSA-N,CC(c1ccc(cc1)Cl)(CC(O)(C)C)O,-3.277949239,2.7085,228.715,0.266666667
C5192,SJORMDVXATZFFN-UHFFFAOYSA-N,OC(=O)C(=O)[O-].CCC1Oc2ccc(cc2N(C1=O)CC([NH+](C)C)C)Cl,-3.249062543,-0.7371,386.827,0.266666667
C5275,VDUWPHTZYNWKRN-UHFFFAOYSA-N,CCn1nc(C(=O)O)c(=O)c2c1cc1OCOc1c2,-3.179368007,0.8433,262.218,0.266666667
C5316,OZDQCCZKFFTJBX-UHFFFAOYSA-N,O=C1Cc2ccccc2S(=O)(=O)N1Cc1ccccc1,-3.153034153,2.9789,287.334,0.266666667
C5407,RBNJBKJYVAQZTJ-UHFFFAOYSA-N,CCOc1ccc(cc1)CC(=O)N1CC2CCC(C1)N2C,-3.098253852,1.8086,288.385,0.266666667
C5507,NGRDFVAIXCRXHN-UHFFFAOYSA-N,CC[NH+](CCNC(=O)c1ccc(cc1)[N+](=O)[O-])CC.[Cl-],-3.034073299,-1.8326,301.769,0.266666667
C5515,JFJVYCLGHWPODH-UHFFFAOYSA-N,OC(=O)CNC(=O)c1cccc(c1)I,-3.030471348,1.4965,305.069,0.266666667
C5594,KRMIFNSJPWRCNE-UHFFFAOYSA-N,OC(=O)C(=O)[O-].CC[NH+]1CCC(C1)OC(=O)Nc1ccccc1C,-2.97915065,0.6837,338.356,0.266666667
C5609,LEHGCEPMNDWJMX-VAWYXSNFSA-N,C#CCNC(=O)/C(=C(/c1ccccc1)\C)/C,-2.971015285,2.6203,213.275,0.266666667
C5610,LEHGCEPMNDWJMX-QXMHVHEDSA-N,C#CCNC(=O)/C(=C(\c1ccccc1)/C)/C,-2.971015285,2.6203,213.275,0.266666667
C5646,WCLAXUCLVJWBAU-UHFFFAOYSA-N,NC1=NCC(O1)CN1CCN(CC1)c1ccccc1Cl,-2.947058186,1.3143,294.78,0.266666667
C5654,KLBGDUZWAJNQRX-UHFFFAOYSA-N,CCCCNc1ccccc1OC,-2.943009769,2.9802,179.259,0.266666667
C744,BOKGTLAJQHTOKE-UHFFFAOYSA-N,Oc1cccc2c1cccc2O,-2.9200001,2.251,160.169,0.266666667
C5769,HCCCKSXKQMGUDF-UHFFFAOYSA-N,OS(=O)(=O)SCCNCCCCCOc1nccc2c1cccc2,-2.869797096,4.3812,370.487,0.266666667
C6038,VTYSSUAOJXDZSK-UHFFFAOYSA-N,CCOC(=O)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,-2.691084223,2.5881,332.354,0.266666667
C6071,PBTLILOQGAAHIW-UHFFFAOYSA-N,n1ccc(cc1)CCc1c[nH]c2c1cccc2.Cl,-2.673306319,4.1501,258.746,0.266666667
C6203,QFQQCSOIKYRSMA-UHFFFAOYSA-N,CC(OC(=O)N)COc1ccccc1C,-2.594743457,2.5579,209.242,0.266666667
C6351,LLMBMJLSWMUILX-UHFFFAOYSA-N,[NH3+]c1ccc(cc1)C(=O)NC1=Nc2c([NH2+]1)cccc2.[Cl-].[Cl-],-2.503541003,-4.4103,325.193,0.266666667
C898,HSSBORCLYSCBJR-UHFFFAOYSA-N,Clc1cc(N)c(c(c1)C(=O)O)Cl,-2.47,2.855,206.026,0.266666667
C6551,UYBFTPVNECIZCO-UHFFFAOYSA-M,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2.COC(CNC(=O)c1ccccc1OCC(=O)[O-])C[Hg].[Na+].O,-2.373082074,-1.1879,687.021,0.266666667
C6611,GHDJWZZXXNZUST-UHFFFAOYSA-N,CC[NH+](CCc1c[nH]c2c1cccc2)CC.[Cl-],-2.338295029,-1.3609,252.783,0.266666667
C6643,OMOMUFTZPTXCHP-UHFFFAOYSA-N,CCCC(C(=O)N)CCC,-2.319330193,2.3884,143.227,0.266666667
C6838,TYIYSVLVQMZJDR-UHFFFAOYSA-N,CCCN1C(=O)Cc2c(S1(=O)=O)cccc2,-2.183023082,2.1887,239.291,0.266666667
C7015,XGPFPXALZVOKRI-UHFFFAOYSA-N,S=C1NC(C(=O)N1c1ccccc1)C,-2.08142522,1.69,206.264,0.266666667
C7047,WTPDKEAYVAXNRO-UHFFFAOYSA-N,COc1cc(ccc1OC(=O)C)C(=O)O,-2.060150629,1.3187,210.183,0.266666667
C7207,NKJIFDNZPGLLSH-UHFFFAOYSA-N,N#Cc1ccc(cc1)[N+](=O)[O-],-1.953659428,1.98968,148.119,0.266666667
C7232,NHALRSQXOLZIPN-UHFFFAOYSA-N,Cn1cc(c2c1cccc2)C1CCC[NH2+]1.[Cl-],-1.933368065,0.1498,236.74,0.266666667
C7293,SZORJUSWVVQOIR-UHFFFAOYSA-N,COc1c(ccc(c1C)OC)CC(N)C.Cl,-1.893558559,3.4042,245.746,0.266666667
C7435,KGLPWQKSKUVKMJ-UHFFFAOYSA-N,O=c1[nH][nH]c(=O)c2c1cccc2,-1.788307643,0.2164,162.145,0.266666667
C7492,LBAPNIABYOOWDN-UHFFFAOYSA-N,OS(=O)(=O)SCCNCCCCc1ccccc1,-1.74217923,3.6066,289.414,0.266666667
C7584,WFGZMQNAHMBGCI-UHFFFAOYSA-N,OCCN1CCSC1=Nc1ncc(s1)[N+](=O)[O-],-1.676093182,1.541,274.32,0.266666667
C7649,ABSDZQDZDHJMPX-UHFFFAOYSA-N,CCCCOCC(COCCCC)O,-1.626342493,1.9807,204.306,0.266666667
C7722,UGJMXCAKCUNAIE-UHFFFAOYSA-N,NCC1(CCCCC1)CC(=O)O,-1.581262189,2.0706,171.237,0.266666667
C1289,VPOMSPZBQMDLTM-UHFFFAOYSA-N,Oc1cc(Cl)cc(c1)Cl,-1.34,2.699,163.001,0.266666667
C8043,YKRGDOXKVOZESV-WRJNSLSBSA-N,OC[C@H]1O[C@@H](O[C@@]23C[C@@H]4[C@@]3(COC(=O)c3ccccc3)[C@@H]3O[C@@]2(C)C[C@]4(O3)O)[C@@H]([C@H]([C@@H]1O)O)O,-1.319934824,-1.3575,480.462,0.266666667
C8158,XENUZQKXLSDMDY-UHFFFAOYSA-N,OS(=O)(=O)SCCNCCCc1ccccc1,-1.2198259,3.2165,275.388,0.266666667
C1330,GJRQTCIYDGXPES-UHFFFAOYSA-N,CC(COC(=O)C)C,-1.21,1.2055,116.158,0.266666667
C8244,SILNNFMWIMZVEQ-UHFFFAOYSA-N,O=c1[nH]c2c([nH]1)cccc2,-1.136990997,0.8562,134.135,0.266666667
C8461,FBVLYAYUSWWENM-UHFFFAOYSA-N,[O-][N+](=O)c1cn(c(n1)Cl)C,-0.932291531,1.5049,161.546,0.266666667
C8708,SKAADKSETAYKGL-UHFFFAOYSA-N,CN(c1ccccc1)C(=O)N,-0.65600047,1.9018,150.178,0.266666667
C8730,WZLOCUGJPMVLCX-UHFFFAOYSA-M,O=C(c1ccccc1)Oc1ccccc1[N+](C)(C)C.[Br-],-0.608604832,0.1065,336.224,0.266666667
C1514,CBCKQZAAMUWICA-UHFFFAOYSA-N,Nc1ccc(cc1)N,-0.38,2.0134,108.141,0.266666667
C1517,PUJDIJCNWFYVJX-UHFFFAOYSA-N,NC(=O)OCc1ccccc1,-0.34999999,1.9822,151.163,0.266666667
C8966,SIEFLIMNPRLFJI-UHFFFAOYSA-M,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2.[Hg]CC(CN(C(=O)c1ccccc1OC)C(=O)[O-])OC.[Na+].O,-0.264103461,-0.6432,687.021,0.266666667
C8969,UKGBSAONERBPNE-UHFFFAOYSA-N,OS(=O)(=O)O.NNCCOc1ccc(cc1)O,-0.260966137,1.7535,266.272,0.266666667
C9014,KGHXFBVYXDFJGG-UHFFFAOYSA-N,CC(=O)Oc1ccccc1C(=O)N,-0.166917582,1.4111,179.173,0.266666667
C9153,AKHALQJNHJAYRL-UHFFFAOYSA-N,OCCOc1ccccc1C(=O)N,0.066145857,0.8569,181.189,0.266666667
C9297,FSMDSXIVAIALBA-UHFFFAOYSA-L,C[N+](CCOc1ccc(cc1)OCC[N+](C)(C)C)(C)C.[I-].[I-],0.270643223,-4.1354,536.231,0.266666667
C1584,GILIYJDBJZWGBG-REOHCLBHSA-N,C[C@@H](C(F)(F)F)O,0.30000001,0.9295,114.066,0.266666667
C9521,ZEDGXSBAZFPSSM-UHFFFAOYSA-M,O=C(c1ccccc1)Oc1ccc(cc1)[N+](C)(C)C.[Br-],0.446030423,0.1065,336.224,0.266666667
C9590,TVKWFYUSFZSPTC-UHFFFAOYSA-N,CC[N+](c1cccc(c1)O)(CC)CC.[Br-],0.561929382,-0.2368,274.197,0.266666667
C9782,DYLFXNWAKZHDJH-UHFFFAOYSA-N,CC(C(=O)O)ON.Br,0.730475381,1.0082,186.005,0.266666667
C9844,UFULAYFCSOUIOV-UHFFFAOYSA-N,NCCS,0.798881468,0.5752,77.1487,0.266666667
C9845,OCWGRWAYARCRTQ-UHFFFAOYSA-N,CN(CC(Cl)C)C.Cl,0.801161564,1.9773,158.069,0.266666667
C9874,CWEWBCLCRPGTIO-HSHFZTNMSA-N,C[C@H](C(=O)O)ON.Cl,0.849087089,0.8521,141.554,0.266666667
C1851,MDLAAYDRRZXJIF-UHFFFAOYSA-N,Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)(O)c1ccc(c(c1)C(F)(F)F)Cl,-8.385256623,7.4706,523.965,0.267605634
C2693,RGIKAFNNDOGWCB-UHFFFAOYSA-N,CCOC(=O)Cc1ccc2c(c1)nc(s2)c1ccc(cc1)OC,-5.510754662,4.0775,327.397,0.267605634
C2976,YAVUZDCXTCRATB-UHFFFAOYSA-N,O=C(c1ccc(c(c1)I)F)OCCCN1CCCCC1.Cl,-5.13557766,4.203,427.681,0.267605634
C3080,GMHNYYKDPGWAJR-UHFFFAOYSA-N,O=C(c1ccccc1O)OCCCc1ccccc1,-5.010810275,3.1818,256.296,0.267605634
C3167,XLVXAUNDHWERBM-IVGWJTKZSA-N,OC[C@H]([C@H]([C@@H]([C@@H](NC(=O)Cc1c2cc(OC)ccc2n(c1C)C(=O)c1ccc(cc1)Cl)C=O)O)O)O,-4.905563308,0.9923,518.943,0.267605634
C3209,CZNLTCTYLMYLHL-UHFFFAOYSA-N,CCCCCCCC(=O)CCc1ccc(c(c1)OC)O,-4.864873154,4.263,278.387,0.267605634
C3491,BXUMMYJTNLBPAN-UHFFFAOYSA-N,O=C(c1ccccc1)CCC[NH+]1CCC(=CC1)c1ccccc1.[Cl-],-4.54353357,1.5949,341.874,0.267605634
C3886,FJNJUBSOKARRGE-UHFFFAOYSA-N,CCCCCOc1ccc(cc1OCC)C=CC(=O)NO,-4.184104124,3.5638,293.358,0.267605634
C3993,MXZNFYAZTAGKQZ-UHFFFAOYSA-N,CCCCN1CCC(=O)C(C1)C1CCN(C(C1)OC(=O)CC)CCCC.Cl.Cl,-4.115291437,4.9487,439.46,0.267605634
C5318,VVMXABGKHYLKIX-NTEUORMPSA-N,CCCN(CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-])CCC,-3.151624938,2.674,296.322,0.267605634
C5418,WDCROVAUQRFURX-UHFFFAOYSA-N,CCc1sc2=NC(=O)CNC(=c2c1)c1ccccc1F,-3.090689037,1.1199,288.34,0.267605634
C6821,QEFCQWMDQYETNH-FCVRUTMISA-N,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)C[NH2+]C.[O-]C(=O)C,-2.194285287,-1.4986,286.241,0.267605634
C1816,CMEAGPOJDJVIAH-UHFFFAOYSA-N,OC(C1CCCC(N1)C(Cc1ccccc1)(Cc1ccccc1)O)(Cc1ccccc1)Cc1ccccc1,-8.883036682,6.2589,505.69,0.267857143
C3117,UENZAQFJJDOROP-UHFFFAOYSA-M,[O-]C(=O)C(c1ccc2c(c1)nc(o2)c1ccc(cc1)Br)C.[Na+],-4.963978957,3.1107,368.157,0.267857143
C3166,ICSZIVRHPGGLMP-UHFFFAOYSA-N,CCc1cc(ccc1[N+](=O)[O-])OP(=S)(OC)OC,-4.908337425,4.2271,291.261,0.267857143
C3181,GNWFVFIRKIFSPN-UHFFFAOYSA-N,O=C(Nc1c(C)cccc1C)OC1CCCN(C1)C(C)(C)C,-4.883610068,4.1257,304.427,0.267857143
C3573,KXWARPSMGAVRQE-UHFFFAOYSA-N,COc1ccc2c(c1)CCCC(=O)N2CCN(C(C)C)C(C)C,-4.465629757,3.5483,318.454,0.267857143
C3763,LNPKUUYTKHCNAJ-UHFFFAOYSA-L,c1ccc(cc1)CC1C[N+]2(COC[N+]34CCC(CC3)C(C4)Cc3ccccc3)CCC1CC2.[Br-].[Br-],-4.277671518,-0.9578,606.475,0.267857143
C4280,ZQEHLMSPKOCPPS-UHFFFAOYSA-N,C[NH+]1C2CCC1CC(C2)OC(=O)C(=C)c1ccccc1Cl.[Cl-],-3.895866902,0.6777,342.26,0.267857143
C4429,FQSNPFDKCZQZQY-UHFFFAOYSA-N,CCCCOc1ccc(cc1Cl)CC(=O)N,-3.780159229,3.247,241.714,0.267857143
C4938,WVIDHXRYTCCXBY-UHFFFAOYSA-N,O=C1C(CCN1c1ccc(cc1)C)N1CCCCC1,-3.429962431,2.5891,258.359,0.267857143
C5148,FTJDCBUTDLGPDM-UHFFFAOYSA-N,c1ccc(cc1)N1CCN(CC1)Cc1ccc2c(n1)cccc2.Cl.Cl,-3.278897892,5.1639,376.323,0.267857143
C5869,QGQQPPFXESPMCO-UHFFFAOYSA-N,CCCOc1ccc(cc1Cl)CC(=O)NO,-2.79688276,2.5676,243.687,0.267857143
C7439,QNMANLUEFQNQCX-UHFFFAOYSA-N,OCC(=O)c1ccc(c(c1)OC)O,-1.783367523,0.5758,182.173,0.267857143
C7464,IMMGGYQQWAHCLJ-UHFFFAOYSA-N,C#CCOc1ccc(cc1)CC(=O)NO,-1.761976516,1.1374,205.21,0.267857143
C7898,HSSAXQPNRNFSLU-UHFFFAOYSA-N,CCOC(=O)c1cnc2n(c1=O)C(C)CCC2,-1.453548166,1.3173,236.267,0.267857143
C8199,XLUFVYWWUQRZCL-UHFFFAOYSA-N,[O-][N+](=O)c1nccn1CC(COCC)O,-1.194873697,0.7119,215.207,0.267857143
