Compound ID,InChIKey,SMILES,logS,logP,MW,similarity_scores_with_oral_bioavail_test_dataset
C7565,BYWZDRVDOARNLV-WQLSENKSSA-N,Cc1ccc(cc1)C(=O)/C=N\N(C)C,-1.69611676,1.7251,190.242,0.217391304
C7675,WPDWDWXAXRTNAQ-UHFFFAOYSA-N,Cn1c(=O)n(CCC)c(cc1=O)N,-1.610705204,0.1204,183.208,0.217391304
C7676,OIHHBESCFLISMR-UHFFFAOYSA-N,CCCn1c(=O)cc(n(c1=O)C)N,-1.610705204,0.1204,183.208,0.217391304
C7748,JGMFEVONQBBJBM-UHFFFAOYSA-N,NC(=O)OCC(C(C)(C)C)COC(=O)N,-1.569582916,2.2399,218.25,0.217391304
C8045,RIIKPLGIMDVDSV-UHFFFAOYSA-N,OCCC1C2CCN(C1CNCCN(CC)CC)CC2,-1.318952859,1.3394,283.453,0.217391304
C8748,ULFCBIUXQQYDEI-UHFFFAOYSA-N,OCC(C(=O)NNCc1ccc(c(c1O)O)O)N.Cl,-0.582548656,0.5279,293.704,0.217391304
C8866,NCRPDZJXUVPKNS-UHFFFAOYSA-N,CCOC(=O)N1CCN(CC1)CC.Cl,-0.425539291,1.4582,222.712,0.217391304
C8964,OIMCRYGRGHXRHC-UHFFFAOYSA-M,C[NH+](CCC[n+]1ccc2c(c1)cccc2)C.[Cl-].[Br-],-0.265449411,-5.3301,331.679,0.217391304
C8972,YUJCWMGBRDBPDL-UHFFFAOYSA-N,O=C1NC(=O)CC(C1)(C)C,-0.257091381,0.778,141.168,0.217391304
C9191,WIQVPGFUYBUXNC-UHFFFAOYSA-N,COCc1c(CO)cnc(c1O)C.Cl,0.119136998,1.5363,219.665,0.217391304
C9228,XRVCFZPJAHWYTB-UHFFFAOYSA-N,CCC(CO)(CO)CC,0.179788685,0.7774,132.201,0.217391304
C9387,IBABVQIIFVJKAG-UHFFFAOYSA-L,Brc1c[n+](CCC[N+](C)(C)C)cc2c1cccc2.[Br-].[Br-],0.328772536,-3.0059,469.053,0.217391304
C9440,FYXPTECHEQODIG-UHFFFAOYSA-M,C[N+](CCC[n+]1cccc2c1c1ccccc1[nH]2)(C)C.[Br-].[Br-],0.367340277,-3.2871,429.193,0.217391304
C9872,VMSRVIHUFHQIAL-UHFFFAOYSA-M,CN(C(=S)[S-])C.[Na+],0.844063048,0.3798,143.206,0.217391304
C1803,UIFFUZWRFRDZJC-UHFFFAOYSA-N,CCCCCCC1C(=O)OC(C)C(C(=O)OC(C1OC(=O)CC(C)C)C)NC(=O)c1cccc(c1O)NC=O,-9.117690251,4.5802,548.625,0.217821782
C2104,UIFFUZWRFRDZJC-WTGSLCBHSA-N,CCCCCC[C@H]1C(=O)O[C@H](C)[C@@H](C(=O)O[C@H]([C@H]1OC(=O)CC(C)C)C)NC(=O)c1cccc(c1O)NC=O,-6.78989192,4.5802,548.625,0.217821782
C3418,UUSSUURLYUEPHL-UHFFFAOYSA-N,OC(=O)C(=O)[O-].COc1ccc2c(c1O)CC[NH+](C2CCc1ccc(cc1)Cl)C,-4.612345526,2.189,421.871,0.217948718
C2616,RUEYJJXJQYFCCU-UHFFFAOYSA-N,N#CC(c1cccc2c1cccc2)(CC[NH+](CC)C)CC=C(C)C.[Cl-],-5.626250327,0.88618,356.932,0.218181818
C3078,IMQSIXYSKPIGPD-YQRUMEKGSA-N,CCCCC[C@H]([C@@H]1[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@H](O)/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O,-5.013360155,1.888,654.828,0.218181818
C3481,MYAPKIZEEJRDPD-UHFFFAOYSA-N,Brc1cnc(c(c1)Br)OCCCCCCNCCSS(=O)(=O)O,-4.552298698,5.1431,492.247,0.218181818
C3599,KVWNWTZZBKCOPM-UHFFFAOYSA-M,Cc1ccc(cc1)S(=O)(=O)[O-].CC[N+](Cc1ccccc1Br)(C)C,-4.44418946,5.0253,414.357,0.218181818
C3601,ADZXDFALMZGPTN-UHFFFAOYSA-M,CC[N+](CCOC(=O)C(C1CCCC1)C1CCCC1)(CC)CC.[Br-],-4.443089072,1.4067,404.425,0.218181818
C4115,YSKCXFJVTRCGGD-UHFFFAOYSA-N,Brc1cnc(c(c1)Br)OCCCCCNCCSS(=O)(=O)O,-4.031262266,4.753,478.22,0.218181818
C4790,RSKJGHLGGFOENO-UHFFFAOYSA-N,CN(CC=C(c1ccc(cc1)F)c1ccc(cc1)F)C.Cl,-3.5505439,4.7601,309.781,0.218181818
C4940,SRVJKTDHMYAMHA-WUXMJOGZSA-N,CC(=O)Nc1ccc(cc1)/C=N/NC(=S)N,-3.428968184,1.9763,236.293,0.218181818
C595,DFCAFRGABIXSDS-UHFFFAOYSA-N,CCN(C(=O)SCC)C1CCCCC1,-3.4000001,3.5141,215.356,0.218181818
C6003,BXUSEVHVYZZWLZ-UHFFFAOYSA-N,OCC(c1ccccc1)(c1ccccc1)COC(=O)N,-2.712489678,2.7606,271.311,0.218181818
C6185,QQCPOHHISOSHJA-UHFFFAOYSA-N,CCCCN1CCC(CC1)(O)CCCC.Cl,-2.603144373,3.5435,249.821,0.218181818
C7955,FTKASJMIPSSXBP-UHFFFAOYSA-N,[O-][N+](=O)CC(=O)OCC,-1.412380615,0.3494,133.103,0.218181818
C8436,KCCLFMFYEDPKEL-UHFFFAOYSA-N,CCOC(=O)C1CC2CCN1CC2,-0.949179157,0.9717,183.247,0.218181818
C3140,AFEAUYYSRPFHIA-UHFFFAOYSA-N,CCN(CCCC(Nc1c(C)cnc2c1ccc(c2)Cl)C)CC,-4.934789883,5.192,333.899,0.218390805
C9240,SCHKAKNJXBPJHD-HKJHEKHQSA-N,NCCCC(CC(=O)NCCCC(CC(=O)NC1[C@@H](O[C@@H]([C@@H]([C@H]1O)OC(=O)N)CO)NC1=N[C@H]2[C@H](N1)[C@H](O)CNC2=O)N)N,0.200174428,-2.0729,630.694,0.218487395
C9241,SCHKAKNJXBPJHD-SNQQVPMJSA-N,NCCC[C@@H](CC(=O)NCCC[C@@H](CC(=O)N[C@H]1[C@@H](O[C@@H]([C@@H]([C@H]1O)OC(=O)N)CO)NC1=N[C@H]2[C@H](N1)[C@H](O)CNC2=O)N)N,0.200174428,-2.0729,630.694,0.218487395
C1757,JMPFSEBWVLAJKM-UHFFFAOYSA-N,N#CC(c1cc(C)c(cc1Cl)NC(=O)c1cc(I)cc(c1O)I)c1ccc(cc1)Cl,-10.3473464,7.19738,663.074,0.21875
C3226,CRNNFEKVPRFZKJ-UHFFFAOYSA-N,ON=C1c2ccccc2c2c1cccc2,-4.840277403,2.8936,195.217,0.21875
C4109,KPXAEWKEEYFYFK-UHFFFAOYSA-N,CCC(=O)OC1(CCN(CC1C)C)C1CCCCC1.Cl,-4.040209486,3.9702,303.868,0.21875
C5513,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,OCCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,-3.032163611,3.856,335.872,0.21875
C5541,HWHHQAIKYRNUCS-UHFFFAOYSA-N,Clc1ccc2c(c1)CN(OC2)CCc1cc[nH+]cc1.[Cl-],-3.015926693,-0.4141,311.206,0.21875
C6277,AAOQURPCQWSPJM-UHFFFAOYSA-N,CC(C(C(C)C)(COC(=O)N)COC(=O)N)C,-2.549491968,2.876,246.303,0.21875
C7042,KIBCSYBEMXURBL-UHFFFAOYSA-N,CC(=O)NCCSSCCNC(=O)C,-2.061798089,1.4218,236.355,0.21875
C1059,BPRYUXCVCCNUFE-UHFFFAOYSA-N,Cc1cc(C)c(c(c1)C)O,-2.05,2.3174,136.191,0.21875
C7833,ZGFASEKBKWVCGP-UHFFFAOYSA-N,COC1(C)CC(c2ccccc2)c2c(O1)c1ccccc1oc2=O,-1.508341134,4.07,322.355,0.21875
C8249,RXOIEVSUURELPG-UHFFFAOYSA-N,CCNC1=NC(=O)C(O1)c1ccccc1,-1.13056562,1.0765,204.225,0.21875
C8263,MIWKMBLORLMHOJ-UHFFFAOYSA-N,CCC(C(=O)N)C(C)C,-1.123606333,1.8542,129.2,0.21875
C8520,QBKCGCOHIUEGDX-UHFFFAOYSA-N,CCOC(=O)N1CCN(CC1)C(C)C.Cl,-0.880117068,1.8467,236.739,0.21875
C8872,RIZZXCJMFIGMON-UHFFFAOYSA-N,CC(=O)OCC#C,-0.416485581,0.1827,98.0999,0.21875
C8920,LCMPIWIWBGHBOY-UHFFFAOYSA-N,CC(=O)OCC(=O)CCl,-0.350981317,0.3574,150.56,0.21875
C1570,HKOOXMFOFWEVGF-UHFFFAOYSA-N,NNc1ccccc1,0.07,1.7455,108.141,0.21875
C9231,NXJOFTRBTBDSHB-UHFFFAOYSA-N,CN1CCCN(CC1)C(=S)SSC(=S)N1CCCN(CC1)C,0.187453533,1.9642,378.643,0.21875
C9364,AEQFSUDEHCCHBT-UHFFFAOYSA-M,CCCC(C(=O)[O-])CCC.[Na+],0.313405539,0.9527,166.193,0.21875
C9450,ZAPMTSHEXFEPSD-UHFFFAOYSA-N,ClCCN1CCOCC1,0.376466153,0.4953,149.619,0.21875
C9842,ZLVSYODPTJZFMK-UHFFFAOYSA-M,[O-]C(=O)c1ccc(cc1)O.[Na+],0.795597818,-0.2443,160.103,0.21875
C1875,JGWRCGHPVAOURY-UHFFFAOYSA-N,CCCCCCCCC=C([NH2+]Cc1ccccc1Cl)[NH2+]Cc1ccccc1Cl.[Cl-].[Cl-],-8.118242683,-0.5796,492.352,0.219178082
C2115,JRTCJQVKTRTCOO-LVEZLNDCSA-N,OC(=O)/C=C/C(=O)O.OC(=O)/C=C/C(=O)O.CCCNC(=O)CN1CCN(CC1)CC1COC2(O1)c1ccccc1C=Cc1c2cccc1,-6.767873989,2.621,679.714,0.219178082
C98,JVHMUUUYNIPCPF-GDLZYMKVSA-N,Oc1ccc(c(c1)C)O[P@@](=O)(Oc1c(C)cccc1O)Oc1cc(O)ccc1C,-6.6999998,5.3735,416.361,0.219178082
C2239,XMNLGWOTBAOGKU-UHFFFAOYSA-N,C[NH+]1C(C)Cc2c(C1CCc1ccc(cc1)Cl)cc(c(c2)C)C.[Cl-],-6.376832111,2.6632,364.352,0.219178082
C3606,WHGGYVWXXOHAQJ-UHFFFAOYSA-N,Clc1ccc2c(c1)c(c[nH]2)C1CCC[NH+]1Cc1ccccc1.[Cl-],-4.436879791,2.3145,347.282,0.219178082
C1701,WIIZWVCIJKGZOK-RKDXNWHRSA-N,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl	,-2.11,1.8231,323.129,0.219178082
C1030,WIIZWVCIJKGZOK-IUCAKERBSA-N,OC[C@@H]([C@H](c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-2.1099999,1.8231,323.129,0.219178082
C7823,QXVKRBMGFAUGJO-UHFFFAOYSA-N,OCCN(Cc1csc(n1)c1ccc(s1)[N+](=O)[O-])C.Cl,-1.513270639,3.5291,335.83,0.219178082
C8389,FKJIJBSJQSMPTI-CAOXKPNISA-M,[O-]C(=O)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)C(=O)C[C@H]1[C@H]2C(=O)C[C@H]2[C@]1(C)CCC(=O)C2)C.[Na+],-0.987409557,2.7386,424.506,0.219178082
C8645,CWJNZABCORLUPT-UHFFFAOYSA-M,Cc1[n+](CCCCC[N+](C)(C)C)ccc2c1c1ccccc1[nH]2.[Br-].[Br-],-0.74335038,-2.1985,471.272,0.219178082
C1941,PESHFZNRQCTMDJ-UHFFFAOYSA-N,S=c1[nH]nc(c(n1)c1ccccc1)c1ccccc1,-7.544697041,3.8682,265.333,0.219512195
C2008,ZMZGFLUUZLELNE-UHFFFAOYSA-N,Ic1cc(I)c(c(c1)C(=O)O)I,-7.141299486,3.1986,499.811,0.219512195
C2262,XRPBPWMZJXTYTJ-UHFFFAOYSA-N,Clc1ccccc1C[NH2+]C12CCC(CC1)(CC2)[NH2+]Cc1ccccc1Cl.[Cl-].[Cl-],-6.31855213,-2.3262,462.283,0.219512195
C3919,VTOJJDGNQGCRLP-UHFFFAOYSA-N,O=c1[nH]nc(c(n1)c1ccccc1)c1ccccc1,-4.161146776,2.4989,249.267,0.219512195
C628,YPNZTHVEMNUDND-UHFFFAOYSA-N,CCCCCCCCOC(=O)N,-3.3,3.1425,173.253,0.219512195
C5725,AWAPQLQRGOLHTD-UHFFFAOYSA-N,C1CCC2(CC1)OCCS2,-2.898338422,2.4102,158.261,0.219512195
C5771,AFMPMSCZPVNPEM-UHFFFAOYSA-N,N#Cc1ccccc1Br,-2.869360581,2.32078,182.017,0.219512195
C842,AXMPFOXRWZXZFA-UHFFFAOYSA-N,CCCCCCCOC(=O)N,-2.6199999,2.7524,159.226,0.219512195
C6363,CVVIOMFTTKEVJM-UHFFFAOYSA-N,NC(=N)c1ccc(cc1)Oc1ccc(cc1)C(=N)N.Cl.Cl,-2.497791915,5.2511,327.209,0.219512195
C900,AOGQPLXWSUTHQB-UHFFFAOYSA-N,CCCCCCOC(=O)C,-2.46,2.1298,144.211,0.219512195
C914,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,Cc1c[nH]c2c1cccc2,-2.4200001,2.4763,131.174,0.219512195
C975,FDGQSTZJBFJUBT-UHFFFAOYSA-N,O=c1[nH]cnc2c1[nH]cn2,-2.29,-0.3538,136.111,0.219512195
C1021,KNAHARQHSZJURB-UHFFFAOYSA-N,CCCc1cc(=O)[nH]c(=S)[nH]1,-2.1500001,1.385,170.232,0.219512195
C6942,HLRDXBKIKFQOFS-LREBCSMRSA-N,O[C@H]([C@H](C(=O)O)O)C(=O)O.CNC(CCC=C(C)C)C,-2.12794633,0.609,291.341,0.219512195
C7034,NHARPDSAXCBDDR-UHFFFAOYSA-N,CCCOC(=O)C(=C)C,-2.064820733,1.5157,128.169,0.219512195
C7068,QHHPPKHDJVVPQH-UHFFFAOYSA-N,COc1ncnc2c1cccc2,-2.052615021,1.6384,160.173,0.219512195
C1092,QXKPLNCZSFACPU-UHFFFAOYSA-N,Cc1ccc2c(c1)nc(cc2)C,-1.9400001,2.8516,157.212,0.219512195
C1101,ROASJEHPZNKHOF-UHFFFAOYSA-N,CCCCCCOC(=O)N,-1.92,2.3623,145.2,0.219512195
C7619,IYFOEVOXKZUQPJ-UHFFFAOYSA-N,Clc1ccc2c(c1)c(=O)[nH]s2,-1.649543136,2.243,185.631,0.219512195
C7684,SJLKYVVYUNFNBO-UHFFFAOYSA-N,CCC(c1cnccn1)C(=S)N,-1.607016774,1.9566,181.258,0.219512195
C7747,CYBHZZZXLCUSQA-UHFFFAOYSA-N,CC(C(COC(=O)N)(COC(=O)N)C)C,-1.569582916,2.2399,218.25,0.219512195
C1311,TWSRVQVEYJNFKQ-UHFFFAOYSA-N,CCCCCOC(=O)CC,-1.28,2.1298,144.211,0.219512195
C8502,UEYIAABRKWHXJV-UHFFFAOYSA-M,NC(=O)CNc1ccc(cc1)[As](=O)(O)[O-].[Na+],-0.893012288,-0.6437,296.087,0.219512195
C8911,GGYVTHJIUNGKFZ-UHFFFAOYSA-N,CN1CCCCC1=O,-0.356463596,0.5666,113.158,0.219512195
C9023,BFQXGKXWUIMFSH-UHFFFAOYSA-N,CC(CNCCSS(=O)(=O)O)(C)C,-0.155273019,2.6298,227.345,0.219512195
C1544,RJUFJBKOKNCXHH-UHFFFAOYSA-N,CCC(=O)OC,-0.14,0.5694,88.1051,0.219512195
C9520,UMSBICJLRLBRSQ-UHFFFAOYSA-N,OS(=O)(=O)SCCNCC1CC1,0.443750916,1.9937,211.302,0.219512195
C9685,RFJFGGRHLGXZNV-UHFFFAOYSA-N,NC(=O)OCC[N+](C)(C)C.[Br-],0.643779022,-2.5078,227.099,0.219512195
C9687,ZEHGKSPCAMLJDC-UHFFFAOYSA-M,CC(=O)OCC[N+](C)(C)C.[Br-],0.645672547,-2.7403,226.111,0.219512195
C9688,TVOREWXXEDDJHQ-UHFFFAOYSA-M,CCOC(=O)C[N+](C)(C)C.[Br-],0.645672547,-2.7403,226.111,0.219512195
C3193,UVWXUICOVOTXNQ-UHFFFAOYSA-N,OC(=O)C(CC(=O)O)(CC(=O)O)O.COc1ccc2c(c1)C1(OCC(O1)CN1CCOCC1)c1ccccc1CO2,-4.873605176,1.2257,575.561,0.21978022
C1718,RYROWNOHCUSOKT-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc1ccc(cn1)Br.Cl.Cl,-14.5490503,12.6474,849.694,0.22
C1756,DLVULIKDGUJXMV-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCCNCCSSCCNCCCCCCOc1ccc(cn1)Br.Cl.Cl,-10.38202647,9.5266,737.481,0.22
C1793,RJEKQCDPXXLTSK-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCNCCSSCCNCCCCCOc1ccc(cn1)Br.Cl.Cl,-9.34170213,8.7464,709.428,0.22
C1968,WVECFEIAZAKUNF-UHFFFAOYSA-N,O=C1c2ccccc2c2c3c1cccc3c(cc2)Br,-7.359852326,4.8137,309.157,0.22
C1973,SFVFIFLLYFPGHH-UHFFFAOYSA-M,CCCCCCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C.[Cl-],-7.309042832,5.5285,424.146,0.22
C2018,VTMUHKQETIHHIO-UHFFFAOYSA-N,c1ccc2c(c1)C(CC2)[NH2+]CC12CCC(CC1)(CC2)C[NH2+]C1CCc2c1cccc2.[Cl-].[Cl-],-7.113050965,-2.1632,473.521,0.22
C3239,GEOODLRPOTYCMR-UHFFFAOYSA-N,OC(=O)C(c1c(C)ccc2c1cccc2)Cc1ccco1,-4.818249133,4.1521,280.318,0.22
C356,APSMUYYLXZULMS-UHFFFAOYSA-N,Brc1ccc2c(c1)cccc2,-4.4000001,3.6023,207.067,0.22
C4077,FXYIDUGIODSYAI-UHFFFAOYSA-N,Brc1cc(Br)c2c(c1)nc(o2)N,-4.060444996,3.5162,291.927,0.22
C4605,AGSLHFQPWVSWHT-UHFFFAOYSA-N,Brc1cc(Br)cc2c1oc(=O)[nH]2,-3.663966404,2.6461,292.912,0.22
C4921,AWLILQARPMWUHA-OGFXRTJISA-M,CCC[C@H](C1(CC)C(=O)[N-]C(=S)NC1=O)C.[Na+],-3.43985715,1.7933,264.32,0.22
C5237,WBEZOZLFWDHDKW-UHFFFAOYSA-N,CCCC(COC(=O)NCC(C)C)(CO)C,-3.215024109,2.5582,231.332,0.22
C5436,PWCXFVBAQLRQEN-UHFFFAOYSA-N,CCCCSc1ccc(cc1)CC(=O)NO,-3.077972571,3.0176,239.334,0.22
C824,QDFKKJYEIFBEFC-UHFFFAOYSA-N,Fc1cccc(c1)Br,-2.6700001,2.5882,174.998,0.22
C6205,NHRYCKNLCGBRIY-UHFFFAOYSA-N,CCCC(C1(C)OCC(O1)CO)C,-2.594438689,1.5465,188.264,0.22
C7165,RHAXSHUQNIEUEY-UHFFFAOYSA-N,COc1cc(C)nc(n1)n1nc(cc1OC)C,-1.985522146,1.2963,234.254,0.22
C7867,OCSRIEOBSUDSMV-UHFFFAOYSA-N,Cn1c(=O)n(CC=C)c(cc1=O)N,-1.479994983,-0.1036,181.192,0.22
C1318,FBSFWRHWHYMIOG-UHFFFAOYSA-N,COC(=O)c1cc(O)c(c(c1)O)O,-1.24,0.59,184.146,0.22
C8314,FQJXITFHANYMET-UHFFFAOYSA-N,CCCCCOCC(CO)O,-1.083023693,0.5464,162.227,0.22
C8326,YJQYMUPERFRTJO-UHFFFAOYSA-N,[O-][N+](=O)/N=C(/n1nc(cc1C)C)\N,-1.064199653,1.0779,183.168,0.22
C8687,LOPUUBCBNOEBQV-UHFFFAOYSA-L,O=CNc1ccccc1OCC(=O)[O-].O=CNc1ccccc1OCC(=O)[O-].[Ca+2],-0.689355493,0.185,428.406,0.22
C8723,DOOTYTYQINUNNV-UHFFFAOYSA-N,CCOC(=O)C(CC(=O)OCC)(CC(=O)OCC)O,-0.62844395,0.187,276.283,0.22
C8867,JPJWFNHMOPQSBQ-UHFFFAOYSA-N,CN(c1ccc(cc1)C)C(=O)N,-0.423002596,2.2102,164.204,0.22
C9147,QVCMHGGNRFRMAD-XFGHUUIASA-N,O=C1O[C@@H]2CCN3[C@@H]2C(=CC3)COC(=O)[C@]([C@]([C@H]1C)(C)O)(C)O,0.059459768,-0.4547,325.357,0.22
C9482,KBTQRBOMLCMWMB-UHFFFAOYSA-L,Cc1cc2ccccc2c[n+]1CCC[N+](C)(C)C.[Br-].[Br-],0.393414435,-3.46,404.183,0.22
C9555,HXHNKQJNCXGUEB-UHFFFAOYSA-N,O=C1C=C(NCCNCc2ccncc2)C(=O)c2c1nccc2,0.510968723,1.9007,308.335,0.22
C1662,LESVOLZBIFDZGS-SSDOTTSWSA-N,CNC(=O)[C@H](SCCSP(=O)(OC)OC)C,1.14,2.3791,287.337,0.22
C3076,NEYNJQRKHLUJRU-DZUOILHNSA-N,CSCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)CCNC(=O)OC(C)(C)C,-5.015251515,4.175,767.891,0.220183486
C3144,IIGBCTZAXJGMSA-UHFFFAOYSA-N,C[NH+]1CCc2c(C1CCc1ccc(cc1)Cl)cc(c(c2)C)C.[Br-],-4.926110401,2.2747,394.776,0.220338983
C5125,IJWNKPCTJRPNLS-UHFFFAOYSA-N,O=C(Nc1ccc(cc1)I)NC=CP(=O)(N1CC1)N1CC1,-3.295022194,3.0479,418.17,0.220338983
C5998,KZOLMYACEQVWMI-UHFFFAOYSA-N,O=C(Nc1ccc(cc1)Br)NC=CP(=O)(N1CC1)N1CC1,-2.717098712,3.2058,371.17,0.220338983
C6399,SKTJISGGWXVVBE-UHFFFAOYSA-N,CCOc1ccc(cc1)N/C(=N/c1ccc(cc1)OCC)/N,-2.476214066,4.3156,299.368,0.220338983
C6521,VIIIJFZJKFXOGG-UHFFFAOYSA-N,O=c1oc2ccccc2cc1C,-2.394824933,2.1014,160.169,0.220338983
C1067,NUKZAGXMHTUAFE-UHFFFAOYSA-N,CCCCCC(=O)OC,-2.0,1.7397,130.185,0.220338983
C8352,FICAQKBMCKEFDI-UHFFFAOYSA-N,Cc1onc(c1)C,-1.029065931,1.2914,97.1152,0.220338983
C9439,LFDRIERUIQJBLI-UHFFFAOYSA-L,C[N+](CCC[n+]1ccc(cc1)Cc1ccccc1)(C)C.[Br-].[Br-],0.366301328,-3.3308,430.22,0.220338983
C2384,QEORVDCGZONWCJ-QURGRASLSA-N,N#CCCN(c1ccc(cc1)/N=N/c1ccc(cc1C#N)[N+](=O)[O-])CC,-6.053485045,5.14506,348.359,0.220588235
C3856,OMMBWIJMWMSGBX-BGWNKZQTSA-N,CCN(CCn1c(=N)onc1c1ccccc1)CC.Cl,-4.200620841,2.8661,296.796,0.220588235
C775,CULUWZNBISUWAS-UHFFFAOYSA-N,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.8099999,2.0218,260.249,0.220588235
C8810,NFDQYBUVHVRNNY-UHFFFAOYSA-N,O=C1CC(CC(=O)N1)CC(C1CC(C)(O)CC(C1=O)C)O,-0.497378282,0.4852,297.347,0.220588235
C8939,VWGJUXTWIWCQGL-UHFFFAOYSA-M,CC[N+](CCOC(=O)C(c1cccs1)(C1CCCC1)O)(CC)C.[Br-],-0.32263892,0.1595,420.405,0.220588235
C2594,KQNZDYYTLMIZCT-KQPMLPITSA-N,O[C@@H]1C[C@@H]2[C@@H](C1)/C=C/CCC[C@@H](OC(=O)/C=C/[C@H]2O)C,-5.669571013,1.9624,280.359,0.220779221
C3137,ZOMBFZRWMLIDPX-UHFFFAOYSA-N,CCN1CC(C(C1=O)(c1ccccc1)c1ccccc1)CCN1CCOCC1.Cl.O,-4.936639147,3.7868,432.983,0.220779221
C4406,GUYKUDVQANANFT-UHFFFAOYSA-N,COC(=O)c1c(C)ccc(c1OCC(=O)OC(CN(C)C)C)C(C)C,-3.801561902,2.7771,351.437,0.220779221
C7567,PTDGWYJBSCQGJI-UHFFFAOYSA-M,Cc1[n+](CCC[N+](Cc2ccccc2)(C)C)ccc2c1[nH]c1c2cccc1.[Br-].[Br-],-1.694249939,-1.4083,519.315,0.220779221
C2787,AZLQWGYNKLHVJM-UHFFFAOYSA-N,Brc1cnc(c(c1)Br)OCCCCCCN1CSCC1.Cl,-5.382340555,5.292,460.655,0.220930233
C2818,BQZRLLBUGAVTNV-BTJKTKAUSA-N,OC(=O)/C=C\C(=O)O.CCCNCC1COC2(O1)c1ccccc1OCc1c2cccc1,-5.326847709,3.2978,441.474,0.220930233
C7200,WDRXVEYXGAMZOX-UHFFFAOYSA-L,OC(=O)c1cc2ccccc2c(c1[O-])Cc1c([O-])c(cc2c1cccc2)C(=O)O.CC1CCN(CC1)C=CC=C/C=[N+]/1\CCC(CC1)C.CC1CCN(CC1)C=CC=C/C=[N+]/1\CCC(CC1)C,-1.960412021,11.664,909.205,0.220930233
C1943,MDFZYGLOIJNNRM-OAJDADRGSA-N,CC(=O)O[C@H]1C[C@]2([C@H](/C/1=C(/C(=O)O)\CCC=C(C)C)CC[C@@H]1[C@]2(C)C(=O)[C@@H](OC(=O)C)[C@@H]2[C@]1(C)C=CC(=O)[C@H]2C)C,-7.53845872,5.4001,568.698,0.221153846
